Eligmodontia typus
Taphozous achates
Taphozous hamiltoni
Taphozous troughtoni
Taphozous hildegardeae
Taphozous nudiventris
Taphozous theobaldi
Coleura seychellensis
Coleura afra
Diclidurus ingens
Diclidurus isabellus
Diclidurus scutatus
Diclidurus albus
Centronycteris centralis
Centronycteris maximiliani
Saccolaimus saccolaimus
Saccolaimus flaviventris
Saccolaimus mixtus
Saccolaimus peli
Perognathus inornatus
Perognathus fasciatus
Perognathus amplus
Perognathus alticolus
Dipodomys insularis
Dipodomys phillipsii
Dipodomys nitratoides
Dipodomys compactus
Dipodomys microps
Dipodomys simulans
Dipodomys agilis
Dipodomys stephensi
Dipodomys margaritae
Dipodomys panamintinus
Dipodomys venustus
Dipodomys gravipes
Dipodomys californicus
Dipodomys nelsoni
Hydromys hussoni
Hydromys neobritannicus
Hydromys ziegleri
Onychogalea unguifera
Thryonomys gregorianus
Micoureus demerarae
Micoureus paraguayanus
Glironia venusta
Micoureus regina
Micoureus alstoni
Hyladelphys kalinowskii
Cryptonanus agricolai
Cryptonanus guahybae
Cryptonanus unduaviensis
Cryptonanus chacoensis
Caluromysiops irrupta
Metachirus nudicaudatus
Lutreolina crassicaudata
Chironectes minimus
Rhynchocyon petersi
Rhynchocyon cirnei
Rhynchocyon udzungwensis
Petrodromus tetradactylus
Ochotona thibetana
Ochotona thomasi
Neotoma chrysomelas
Neotoma stephensi
Neotoma bryanti
Neotoma angustapalata
Neotoma goldmani
Neotoma nelsoni
Neotoma palatina
Neotoma devia
Neotoma mexicana
Neotoma fuscipes
Neotoma leucodon
Neotoma macrotis
Neotoma phenax
Neotoma cinerea
Neotoma magister
Cercartetus lepidus
Cercartetus concinnus
Microdipodops megacephalus
Microdipodops pallidus
Liomys salvini
Liomys pictus
Liomys irroratus
Liomys adspersus
Heteromys gaumeri
Liomys spectabilis
Heteromys nelsoni
Heteromys anomalus
Heteromys desmarestianus
Heteromys oresterus
Phascogale pirata
Graphiurus kelleni
Selevinia betpakdalaensis
Graphiurus murinus
Graphiurus crassicaudatus
Graphiurus monardi
Graphiurus angolensis
Graphiurus johnstoni
Dryomys laniger
Graphiurus surdus
Graphiurus lorraineus
Dryomys niethammeri
Dryomys nitedula
Graphiurus nagtglasii
Chaetocauda sichuanensis
Myomimus personatus
Myomimus setzeri
Myomimus roachi
Graphiurus platyops
Graphiurus ocularis
Pseudomys delicatulus
Pseudomys pilligaensis
Pseudomys chapmani
Pseudomys patrius
Pseudomys johnsoni
Pseudomys calabyi
Pseudomys hermannsburgensis
Pseudomys bolami
Pseudomys novaehollandiae
Pseudomys apodemoides
Pseudomys albocinereus
Pseudomys occidentalis
Pseudomys desertor
Pseudomys fieldi
Pseudomys higginsi
Pseudomys fumeus
Pseudomys nanus
Pseudomys shortridgei
Pseudomys gracilicaudatus
Pseudomys oralis
Phascolosorex dorsalis
Murexia longicaudata
Phascolosorex doriae
Myoictis wallacei
Myoictis leucura
Myoictis wavicus
Neophascogale lorentzii
Myoictis melas
Myrmecobius fasciatus
Saccopteryx canescens
Saccopteryx gymnura
Saccopteryx leptura
Saccopteryx antioquensis
Mosia nigrescens
Balantiopteryx io
Rhynchonycteris naso
Peropteryx trinitatis
Emballonura beccarii
Emballonura atrata
Emballonura furax
Emballonura dianae
Emballonura serii
Emballonura tiavato
Emballonura alecto
Balantiopteryx infusca
Cyttarops alecto
Emballonura monticola
Emballonura raffrayana
Peropteryx macrotis
Emballonura semicaudata
Balantiopteryx plicata
Peropteryx leucoptera
Cormura brevirostris
Peropteryx kappleri
Jaculus orientalis
Jaculus blanfordi
Hemiechinus collaris
Gerbillus henleyi
Gerbillus watersi
Gerbillus pusillus
Gerbillus amoenus
Gerbillus simoni
Gerbillus mesopotamiae
Gerbillus dasyurus
Gerbillus nanus
Gerbillus gleadowi
Gerbillus gerbillus
Gerbillus andersoni
Gerbillus cheesmani
Gerbillus campestris
Gerbillus nigeriae
Gerbillus poecilops
Gerbillus famulus
Gerbillus latastei
Gerbillus acticola
Gerbillus muriculus
Gerbillus nancillus
Gerbillus bottai
Gerbillus brockmani
Gerbillus cosensis
Gerbillus grobbeni
Gerbillus jamesi
Gerbillus juliani
Gerbillus lowei
Gerbillus occiduus
Gerbillus principulus
Gerbillus somalicus
Gerbillus stigmonyx
Gerbillus rupicola
Gerbillus percivali
Gerbillus agag
Gerbillus burtoni
Gerbillus perpallidus
Gerbillus maghrebi
Gerbillus rosalinda
Gerbillus aquilus
Gerbillus dunni
Gerbillus floweri
Gerbillus harwoodi
Gerbillus hesperinus
Gerbillus hoogstraali
Gerbillus mackillingini
Gerbillus pulvinatus
Gerbillus tarabuli
Thrichomys pachyurus
Thrichomys inermis
Heliophobius argenteocinereus
Bathyergus janetta
Bathyergus suillus
Caluromys lanatus
Sylvilagus bachmani
Sylvilagus obscurus
Sylvilagus mansuetus
Sylvilagus graysoni
Sylvilagus brasiliensis
Brachylagus idahoensis
Romerolagus diazi
Graphiurus microtis
Graphiurus rupicola
Graphiurus christyi
Chaetodipus artus
Chaetodipus dalquesti
Chaetodipus eremicus
Chaetodipus rudinoris
Chaetodipus intermedius
Chaetodipus nelsoni
Chaetodipus penicillatus
Chaetodipus spinatus
Chaetodipus pernix
Chaetodipus arenarius
Chaetodipus lineatus
Chaetodipus goldmani
Chaetodipus californicus
Chaetodipus baileyi
Chaetodipus hispidus
Perognathus merriami
Perognathus flavus
Perognathus flavescens
Distoechurus pennatus
Massoutiera mzabi
Felovia vae
Rhyncholestes raphanurus
Lestoros inca
Dromiciops gliroides
Caenolestes fuliginosus
Caenolestes convelatus
Caenolestes caniventer
Notoryctes caurinus
Caenolestes condorensis
Notoryctes typhlops
Talpa occidentalis
Talpa caeca
Talpa stankovici
Talpa davidiana
Talpa altaica
Talpa caucasica
Talpa levantis
Talpa romana
Eliomys munbyanus
Eliomys melanurus
Ptenochirus minor
Idiurus zenkeri
Eospalax rothschildi
Makalata obscura
Abrocoma shistacea
Calomyscus tsolovi
Abrocoma budini
Calomyscus elburzensis
Spalax zemni
Calomyscus urartensis
Spalax arenarius
Spalax uralensis
Abrocoma boliviensis
Platacanthomys lasiurus
Abrocoma uspallata
Cuscomys ashaninka
Spalax ehrenbergi
Spalax leucodon
Abrocoma cinerea
Zenkerella insignis
Calomyscus grandis
Spalax giganteus
Petromus typicus
Myospalax myospalax
Tachyoryctes splendens
Abrocoma vaccarum
Anomalurus pusillus
Abrocoma bennettii
Eospalax fontanierii
Myospalax psilurus
Myospalax aspalax
Isothrix barbarabrownae
Laonastes aenigmamus
Spalax microphthalmus
Cannomys badius
Anomalurus beecrofti
Tachyoryctes macrocephalus
Anomalurus derbianus
Dipodomys elator
Dipodomys ingens
Heteromys teleus
Heteromys oasicus
Heteromys australis
Microgale pusilla
Microgale parvula
Microgale fotsifotsy
Microgale longicaudata
Microgale brevicaudata
Microgale principula
Microgale drouhardi
Microgale cowani
Microgale taiva
Microgale monticola
Microgale jenkinsae
Microgale majori
Microgale nasoloi
Microgale jobihely
Microgale gymnorhyncha
Microgale soricoides
Microgale thomasi
Microgale gracilis
Microgale dryas
Oryzorictes hova
Oryzorictes tetradactylus
Micropotamogale lamottei
Limnogale mergulus
Chlorotalpa duthieae
Cryptochloris wintoni
Cryptochloris zyli
Neamblysomus julianae
Eremitalpa granti
Chrysochloris visagiei
Calcochloris obtusirostris
Amblysomus septentrionalis
Calcochloris tytonis
Amblysomus marleyi
Chrysochloris asiatica
Chlorotalpa sclateri
Amblysomus corriae
Carpitalpa arendsi
Calcochloris leucorhinus
Chrysochloris stuhlmanni
Neamblysomus gunningi
Amblysomus hottentotus
Amblysomus robustus
Sylvilagus dicei
Sylvilagus cognatus
Sylvilagus varynaensis
Sylvilagus robustus
Sylvilagus aquaticus
Sylvilagus cunicularius
Sylvilagus insonus
Echymipera rufescens
Echymipera clara
Echymipera echinista
Ammospermophilus interpres
Ammospermophilus harrisii
Lepus yarkandensis
Lepus hainanus
Lepus tolai
Lepus sinensis
Lepus microtis
Lepus mandshuricus
Lepus insularis
Lepus comus
Lepus habessinicus
Lepus capensis
Lepus tibetanus
Lepus peguensis
Lepus nigricollis
Lepus granatensis
Lepus coreanus
Lepus oiostolus
Lepus brachyurus
Lepus fagani
Lepus saxatilis
Lepus callotis
Lepus starcki
Lepus castroviejoi
Lepus flavigularis
Lepus corsicanus
Lepus timidus
Lepus alleni
Lepus othus
Geogale aurita
Spermophilus spilosoma
Spermophilus perotensis
Spermophilus canus
Spermophilus adocetus
Spermophilus dauricus
Spermophilus mollis
Spermophilus pygmaeus
Spermophilus mexicanus
Spermophilus madrensis
Spermophilus townsendii
Spermophilus mohavensis
Spermophilus washingtoni
Spermophilus saturatus
Spermophilus alashanicus
Spermophilus major
Spermophilus musicus
Spermophilus pallidicauda
Spermophilus ralli
Spermophilus brevicauda
Spermophilus suslicus
Spermophilus beldingi
Spermophilus xanthoprymnus
Spermophilus brunneus
Spermophilus taurensis
Spermophilus elegans
Spermophilus richardsonii
Spermophilus erythrogenys
Spermophilus columbianus
Spermophilus annulatus
Spermophilus atricapillus
Spermophilus relictus
Spermophilus variegatus
Spermophilus undulatus
Spermophilus parryii
Spermophilus fulvus
Micropotamogale ruwenzorii
Potamogale velox
Chrysospalax villosus
Chrysospalax trevelyani
Dendromus kahuziensis
Dendromus oreas
Petromyscus barbouri
Steatomys cuppedius
Steatomys bocagei
Dendromus messorius
Delanymys brooksi
Steatomys parvus
Dendromus mystacalis
Dendromus kivu
Dendromus vernayi
Dendromus melanotis
Eliurus majori
Eliurus penicillatus
Eliurus ellermani
Macrotarsomys petteri
Dendroprionomys rousseloti
Nesomys lambertoni
Nesomys rufus
Brachytarsomys albicauda
Nesomys audeberti
Brachytarsomys villosa
Dasycercus blythi
Tolypeutes tricinctus
Marmota bobak
Lagorchestes hirsutus
Tamias alpinus
Tamias panamintinus
Tamias umbrinus
Tamias rufus
Tamias quadrivittatus
Tamias palmeri
Tamias speciosus
Tamias cinereicollis
Tamias dorsalis
Tamias canipes
Tamias obscurus
Tamias merriami
Tamias siskiyou
Tamias sonomae
Tamias quadrimaculatus
Tamias durangae
Tamias senex
Tamias ochrogenys
Nesolagus timminsi
Nesolagus netscheri
Bunolagus monticularis
Pronolagus rupestris
Pentalagus furnessi
Pronolagus saundersiae
Pronolagus randensis
Pronolagus crassicaudatus
Caprolagus hispidus
Poelagus marjorita
Geomys breviceps
Geomys attwateri
Geomys knoxjonesi
Geomys pinetis
Geomys texensis
Geomys arenarius
Geomys tropicalis
Geomys personatus
Tamias bulleri
Hylomys parvus
Neotetracus sinensis
Hylomys megalotis
Neohylomys hainanensis
Hylomys suillus
Podogymnura truei
Paraechinus micropus
Paraechinus hypomelas
Mesechinus hughi
Paraechinus nudiventris
Podogymnura aureospinula
Mesechinus dauuricus
Paraechinus aethiopicus
Echinosorex gymnura
Pseudocheirus occidentalis
Pseudochirulus mayeri
Pseudochirulus schlegeli
Pseudochirulus canescens
Pseudochirulus caroli
Pseudochirulus forbesi
Pseudochirulus larvatus
Pseudochirops albertisii
Pseudochirulus cinereus
Hemibelideus lemuroides
Myosciurus pumilio
Exilisciurus exilis
Exilisciurus whiteheadi
Exilisciurus concinnus
Petaurillus kinlochii
Sciurillus pusillus
Petinomys vordermanni
Petinomys setosus
Tamiops macclellandii
Petinomys sagitta
Nannosciurus melanotis
Paraxerus alexandri
Petaurillus emiliae
Tamiops rodolphii
Hylopetes platyurus
Tamiops swinhoei
Hylopetes lepidus
Tamiops maritimus
Paraxerus boehmi
Funambulus sublineatus
Sundasciurus tenuis
Sundasciurus jentinki
Petaurillus hosei
Sundasciurus lowii
Microsciurus alfari
Hylopetes sipora
Sundasciurus fraterculus
Microsciurus flaviventer
Microsciurus santanderensis
Galictis vittata
Erinaceus roumanicus
Erinaceus amurensis
Cynopterus minutus
Cynopterus nusatenggara
Cynopterus luzoniensis
Cynopterus horsfieldii
Cynopterus titthaecheilus
Corynorhinus townsendii
Corynorhinus mexicanus
Octodontomys gliroides
Octodon bridgesi
Octodon pacificus
Octodon lunatus
Tympanoctomys barrerae
Aconaemys sagei
Spalacopus cyanus
Aconaemys porteri
Octomys mimax
Aconaemys fuscus
Pipanacoctomys aureus
Salinoctomys loschalchalerosorum
Atelerix frontalis
Atelerix sclateri
Atelerix algirus
Xerus rutilus
Xerus princeps
Kerodon acrobata
Paraxerus poensis
Funambulus pennantii
Paraxerus ochraceus
Petinomys genibarbis
Funisciurus isabella
Funisciurus congicus
Petinomys crinitus
Sundasciurus brookei
Hylopetes spadiceus
Microsciurus mimulus
Dremomys everetti
Syntheosciurus brochus
Funambulus tristriatus
Funisciurus bayonii
Funambulus palmarum
Funisciurus lemniscatus
Pteromys volans
Pteromys momonga
Iomys horsfieldii
Paraxerus flavovittis
Funambulus layardi
Heliosciurus punctatus
Lariscus insignis
Iomys sipora
Lariscus hosei
Funisciurus substriatus
Funisciurus duchaillui
Hylopetes bartelsi
Hylopetes winstoni
Menetes berdmorei
Sundasciurus rabori
Sundasciurus davensis
Lariscus niobe
Dremomys pernyi
Dremomys rufigenis
Paraxerus cepapi
Funisciurus anerythrus
Sundasciurus samarensis
Dremomys lokriah
Hylopetes phayrei
Petinomys hageni
Rhinosciurus laticaudatus
Sundasciurus hoogstraali
Lariscus obscurus
Funisciurus pyrropus
Sundasciurus philippinensis
Dremomys pyrrhomerus
Prosciurillus abstrusus
Prosciurillus leucomus
Prosciurillus murinus
Prosciurillus weberi
Aeretes melanopterus
Paraxerus vincenti
Dremomys gularis
Petinomys mindanensis
Prosciurillus rosenbergii
Heliosciurus gambianus
Funisciurus leucogenys
Paraxerus cooperi
Atlantoxerus getulus
Pteromyscus pulverulentus
Sundasciurus moellendorffi
Sundasciurus steerii
Hylopetes alboniger
Sundasciurus juvencus
Funisciurus carruthersi
Sundasciurus mindanensis
Heliosciurus ruwenzorii
Hyosciurus heinrichi
Hyosciurus ileile
Heliosciurus rufobrachium
Heliosciurus undulatus
Sundasciurus hippurus
Paraxerus palliatus
Heliosciurus mutabilis
Protoxerus aubinnii
Petinomys lugens
Sciurotamias davidianus
Sciurotamias forresti
Eoglaucomys fimbriatus
Epixerus ebii
Hylopetes nigripes
Belomys pearsonii
Glyphotes simus
Spermophilopsis leptodactylus
Protoxerus stangeri
Paraxerus vexillarius
Rubrisciurus rubriventer
Paraxerus lucifer
Petinomys fuscocapillus
Tadarida aegyptiaca
Tadarida condylura
Tadarida aloysiisabaudiae
Tadarida ansorgei
Tadarida bemmeleni
Tadarida bivittata
Tadarida bregullae
Tadarida chapini
Tadarida gallagheri
Tadarida jobensis
Tadarida johorensis
Tadarida major
Tadarida nigeriae
Tadarida plicata
Tadarida russata
Tadarida solomonis
Tadarida tomensis
Tadarida brachyptera
Tadarida congica
Tadarida demonstrator
Tadarida midas
Tadarida mops
Tadarida nanula
Tadarida niangarae
Tadarida niveiventer
Tadarida sarasinorum
Tadarida spurrelli
Tadarida thersites
Tadarida trevori
Tadarida lobata
Tadarida ventralis
Tadarida leucostigma
Tadarida latouchei
Tadarida jobimena
Tadarida insignis
Tadarida kuboriensis
Tadarida teniotis
Tadarida fulminans
Tadarida australis
Molossops temminckii
Molossops aequatorianus
Molossops neglectus
Mormopterus loriae
Molossops mattogrossensis
Mormopterus norfolkensis
Mormopterus planiceps
Cheiromeles parvidens
Cheiromeles torquatus
Mormopterus acetabulosus
Mormopterus doriae
Mormopterus kalinowskii
Mormopterus minutus
Mormopterus phrudus
Myopterus daubentonii
Myopterus whitleyi
Mormopterus jugularis
Cynomops paranus
Eumops bonariensis
Cynomops planirostris
Nyctinomops laticaudatus
Molossus molossus
Sauromys petrophilus
Mormopterus beccarii
Molossus aztecus
Nyctinomops femorosaccus
Eumops hansae
Promops nasutus
Cynomops greenhalli
Nyctinomops macrotis
Molossus currentium
Nyctinomops aurispinosus
Cynomops mexicanus
Molossus sinaloae
Tomopeas ravus
Platymops setiger
Eumops auripendulus
Promops centralis
Molossus rufus
Molossus coibensis
Molossus barnesi
Otomops formosus
Otomops wroughtoni
Otomops johnstonei
Otomops papuensis
Otomops secundus
Otomops madagascariensis
Otomops martiensseni
Cynomops abrasus
Eumops glaucinus
Eumops maurus
Eumops floridanus
Eumops trumbulli
Eumops patagonicus
Eumops perotis
Eumops underwoodi
Eumops dabbenei
Molossus pretiosus
Tamiasciurus mearnsi
Tamiasciurus douglasii
Tupaia minor
Tupaia javanica
Tupaia gracilis
Tupaia moellendorffi
Tupaia longipes
Tupaia palawanensis
Tupaia dorsalis
Tupaia montana
Tupaia picta
Tupaia splendidula
Tupaia nicobarica
Tupaia chrysogaster
Tupaia tana
Tupaia belangeri
Dendrogale murina
Dendrogale melanura
Anathana ellioti
Urogale everetti
Ptilocercus lowii
Acerodon leucotis
Chaetophractus vellerosus
Dasypus hybridus
Chaetophractus nationi
Peroryctes broadbenti
Calyptophractus retusus
Pseudalopex griseus
Balionycteris maculata
Aethalops aequalis
Aethalops alecto
Alionycteris paucidentata
Macroglossus minimus
Megaloglossus woermanni
Otopteropus cartilagonodus
Syconycteris australis
Chironax melanocephalus
Syconycteris hobbit
Scotonycteris zenkeri
Macroglossus sobrinus
Nanonycteris veldkampii
Paranyctimene tenax
Paranyctimene raptor
Micropteropus intermedius
Micropteropus pusillus
Casinycteris argynnis
Sphaerias blanfordi
Nyctimene albiventer
Nyctimene draconilla
Penthetor lucasi
Melonycteris woodfordi
Syconycteris carolinae
Melonycteris fardoulisi
Nyctimene vizcaccia
Nyctimene certans
Myonycteris torquata
Nyctimene cephalotes
Melonycteris melanops
Nyctimene cyclotis
Nyctimene robinsoni
Myonycteris brachycephala
Epomophorus grandis
Nyctimene masalai
Myonycteris relicta
Nyctimene minutus
Nyctimene sanctacrucis
Nyctimene keasti
Thoopterus nigrescens
Notopteris neocaledonica
Notopteris macdonaldi
Nyctimene rabori
Lissonycteris angolensis
Scotonycteris ophiodon
Epomophorus labiatus
Nyctimene malaitensis
Nyctimene aello
Epomophorus angolensis
Epomophorus minimus
Epomophorus anselli
Epomophorus wahlbergi
Epomophorus crypturus
Cynomys gunnisoni
Cynomys parvidens
Cynomys mexicanus
Cynomys leucurus
Thylogale lanatus
Thylogale calabyi
Thylogale thetis
Eonycteris major
Callosciurus nigrovittatus
Callosciurus adamsi
Callosciurus quinquestriatus
Callosciurus pygerythrus
Callosciurus caniceps
Callosciurus phayrei
Callosciurus albescens
Callosciurus finlaysonii
Callosciurus erythraeus
Callosciurus melanogaster
Callosciurus baluensis
Callosciurus orestes
Callosciurus inornatus
Callosciurus prevostii
Myoprocta pratti
Vespertilio sinensis
Lepilemur dorsalis
Lepilemur randrianasoloi
Lepilemur fleuretae
Lepilemur wrightae
Lepilemur aeeclis
Lepilemur jamesorum
Lepilemur milanoii
Lepilemur mittermeieri
Lepilemur sahamalazensis
Lepilemur betsileo
Lepilemur petteri
Lepilemur seali
Lepilemur tymerlachsonorum
Lepilemur hubbardorum
Lepilemur grewcockorum
Lepilemur otto
Lepilemur ahmansonorum
Lepilemur ankaranensis
Lepilemur septentrionalis
Lepilemur ruficaudatus
Lepilemur edwardsi
Lepilemur microdon
Acerodon celebensis
Acerodon humilis
Dasypus sabanicola
Dasypus septemcinctus
Dasypus yepesi
Dasypus pilosus
Dasypus kappleri
Arctocebus aureus
Dolichotis salinicola
Nyctalus leisleri
Nyctalus aviator
Nyctalus montanus
Nyctalus furvus
Nyctalus plancyi
Nyctalus lasiopterus
Macropus irma
Galagoides orinus
Galagoides rondoensis
Galagoides nyasae
Galagoides cocos
Galagoides zanzibaricus
Galagoides thomasi
Macrotus waterhousii
Mephitis macroura
Spilocuscus papuensis
Spilocuscus wilsoni
Spilocuscus kraemeri
Rousettus obliviosus
Rousettus celebensis
Rousettus amplexicaudatus
Rousettus bidens
Rousettus linduensis
Myotis ridleyi
Kerivoula pellucida
Murina rozendaali
Plecotus kolombatovici
Murina aenea
Barbastella barbastellus
Myotis bechsteinii
Myotis pilosus
Hesperoptenus tomesi
Myotis macrotarsus
Nycteris tragata
Myotis dasycneme
Nycteris javanica
Megaerops kusnotoi
Tadarida petersoni
Nyctalus azoreum
Rousettus madagascariensis
Dyacopterus brooksi
Rousettus spinalatus
Harpyionycteris celebensis
Styloctenium wallacei
Eidolon helvum
Euoticus pallidus
Pteropus lylei
Acerodon mackloti
Pteropus dasymallus
Chinchilla chinchilla
Phataginus tricuspis
Dorcopsulus vanheurni
Thylogale brunii
Manis pentadactyla
Manis javanica
Dorcopsis luctuosa
Thylogale browni
Spilocuscus rufoniger
Smutsia gigantea
Hesperoptenus blanfordi
Nycteris nana
Nycteris gambiensis
Nycteris woodi
Nycteris hispida
Nycteris thebaica
Kerivoula argentata
Kerivoula papillosa
Barbastella leucomelas
Kerivoula minuta
Kerivoula phalaena
Kerivoula whiteheadi
Murina suilla
Murina florium
Kerivoula picta
Kerivoula hardwickii
Kerivoula muscina
Kerivoula africana
Kerivoula kachinensis
Kerivoula lenis
Kerivoula krauensis
Kerivoula titania
Kerivoula agnella
Kerivoula cuprosa
Kerivoula eriophora
Kerivoula intermedia
Kerivoula myrella
Kerivoula smithii
Murina tubinaris
Kerivoula flora
Murina aurata
Murina fusca
Murina puta
Murina tenebrosa
Murina ussuriensis
Murina ryukyuana
Murina hilgendorfi
Murina harrisoni
Kerivoula lanosa
Murina leucogaster
Murina huttoni
Murina cyclotis
Nycteris arge
Hesperoptenus doriae
Hesperoptenus gaskelli
Nycteris aurita
Nycteris intermedia
Nycteris major
Nycteris parisii
Nycteris vinsoni
Nycteris macrotis
Hesperoptenus tickelli
Nycteris madagascariensis
Megaerops wetmorei
Megaerops ecaudatus
Nycteris grandis
Megaerops niphanae
Dyacopterus spadiceus
Rousettus lanosus
Harpyionycteris whiteheadi
Styloctenium mindorensis
Euoticus elegantulus
Mirza zaza
Dorcopsulus macleayi
Dorcopsis muelleri
Dorcopsis hageni
Dorcopsis atrata
Smutsia temminckii
Chlamyphorus truncatus
Hipposideros galeritus
Hipposideros speoris
Hipposideros ruber
Hipposideros stenotis
Hipposideros semoni
Hipposideros corynophyllus
Hipposideros maggietaylorae
Hipposideros larvatus
Hipposideros papua
Hipposideros abae
Hipposideros calcaratus
Hipposideros camerunensis
Hipposideros coronatus
Hipposideros coxi
Hipposideros crumeniferus
Hipposideros curtus
Hipposideros demissus
Hipposideros dinops
Hipposideros durgadasi
Hipposideros edwardshilli
Hipposideros fuliginosus
Hipposideros hypophyllus
Hipposideros inexpectatus
Hipposideros lamottei
Hipposideros madurae
Hipposideros megalotis
Hipposideros muscinus
Hipposideros nequam
Hipposideros pratti
Hipposideros sorenseni
Hipposideros sumbae
Hipposideros thomensis
Hipposideros vittatus
Hipposideros orbiculus
Hipposideros rotalis
Hipposideros grandis
Hipposideros boeadii
Hipposideros scutinares
Hipposideros pelingensis
Hipposideros khaokhouayensis
Hipposideros breviceps
Hipposideros dyacorum
Hipposideros macrobullatus
Hipposideros marisae
Hipposideros inornatus
Hipposideros lekaguli
Hipposideros cyclops
Hipposideros turpis
Hipposideros lylei
Hipposideros lankadiva
Hipposideros diadema
Hipposideros armiger
Hipposideros commersoni
Hipposideros gigas
Hipposideros pygmaeus
Hipposideros cineraceus
Hipposideros halophyllus
Hipposideros doriae
Hipposideros jonesi
Hipposideros ater
Hipposideros pomona
Hipposideros beatus
Hipposideros wollastoni
Hipposideros bicolor
Hipposideros cervinus
Hipposideros caffer
Hipposideros ridleyi
Hipposideros obscurus
Asellia patrizii
Asellia tridens
Triaenops persicus
Anthops ornatus
Paracoelops megalotis
Aselliscus tricuspidatus
Cloeotis percivali
Triaenops furculus
Aselliscus stoliczkanus
Coelops robinsoni
Coelops hirsutus
Coelops frithii
Rhinonicteris aurantia
Triaenops rufus
Triaenops auritus
Potorous gilbertii
Ichneumia albicauda
Carollia castanea
Carollia sowelli
Carollia manu
Carollia subrufa
Dendrohyrax validus
Tamandua mexicana
Cabassous chacoensis
Cabassous centralis
Cabassous unicinctus
Cabassous tatouay
Petrogale burbidgei
Petrogale brachyotis
Petrogale purpureicollis
Petrogale rothschildi
Petrogale inornata
Petrogale lateralis
Petrogale coenensis
Petrogale sharmani
Petrogale mareeba
Petrogale godmani
Petrogale herberti
Petrogale persephone
Galagoides granti
Galago matschiei
Galago gallarum
Uromanis tetradactyla
Pipistrellus stenopterus
Pipistrellus angulatus
Pipistrellus tenuis
Pipistrellus nanulus
Pipistrellus hesperus
Pipistrellus rusticus
Pipistrellus coromandra
Pipistrellus javanicus
Pipistrellus abramus
Pipistrellus deserti
Pipistrellus savii
Pipistrellus maderensis
Pipistrellus adamsi
Pipistrellus aero
Pipistrellus anthonyi
Pipistrellus arabicus
Pipistrellus cadornae
Pipistrellus endoi
Pipistrellus imbricatus
Pipistrellus inexspectatus
Pipistrellus joffrei
Pipistrellus kitcheneri
Pipistrellus lophurus
Pipistrellus macrotis
Pipistrellus minahassae
Pipistrellus papuanus
Pipistrellus paterculus
Pipistrellus permixtus
Pipistrellus pulveratus
Pipistrellus wattsi
Pipistrellus westralis
Pipistrellus vordermanni
Pipistrellus anchietae
Pipistrellus ariel
Pipistrellus crassulus
Pipistrellus eisentrauti
Pipistrellus musciculus
Pipistrellus brunneus
Pipistrellus capensis
Pipistrellus flavescens
Pipistrellus guineensis
Pipistrellus helios
Pipistrellus melckorum
Pipistrellus nanus
Pipistrellus rendalli
Pipistrellus somalicus
Pipistrellus tenuipinnis
Pipistrellus zuluensis
Pipistrellus hanaki
Pipistrellus alaschanicus
Pipistrellus raceyi
Pipistrellus pygmaeus
Pipistrellus hesperidus
Pipistrellus murrayi
Pipistrellus sturdeei
Pipistrellus kuhlii
Pipistrellus collinus
Pipistrellus rueppellii
Pipistrellus nathusii
Pipistrellus ceylonicus
Pteronotus macleayii
Pteronotus paraguanensis
Rhinopoma hardwickii
Mystacina tuberculata
Pteronotus gymnonotus
Mormoops megalophylla
Rhinopoma macinnesi
Pteronotus parnellii
Mystacina robusta
Rhinopoma microphyllum
Noctilio leporinus
Noctilio albiventris
Dasyprocta coibae
Dasyprocta ruatanica
Dasyprocta cristata
Dasyprocta guamara
Dasyprocta kalinowskii
Dasyprocta prymnolopha
Dasyprocta azarae
Dasyprocta fuliginosa
Dasyprocta mexicana
Manis culionensis
Solenodon cubanus
Dactylopsila tatei
Dactylopsila megalura
Dactylonax palpator
Dactylopsila trivirgata
Artibeus gnomus
Artibeus watsoni
Artibeus phaeotis
Artibeus glaucus
Artibeus cinereus
Artibeus toltecus
Artibeus concolor
Artibeus aztecus
Artibeus anderseni
Artibeus fraterculus
Artibeus inopinatus
Artibeus incomitatus
Artibeus planirostris
Artibeus rosenbergii
Artibeus obscurus
Artibeus hirsutus
Artibeus lituratus
Artibeus amplus
Artibeus fimbriatus
Sciurocheirus gabonensis
Eudorcas rufina
Marmota broweri
Marmota caudata
Marmota camtschatica
Marmota baibacina
Marmota olympus
Marmota himalayana
Megaderma spasma
Macroderma gigas
Lavia frons
Cardioderma cor
Miniopterus fraterculus
Miniopterus australis
Miniopterus macrocneme
Miniopterus pusillus
Miniopterus natalensis
Miniopterus fuscus
Miniopterus minor
Miniopterus robustior
Miniopterus gleni
Miniopterus majori
Miniopterus manavi
Miniopterus paululus
Miniopterus newtoni
Miniopterus oceanensis
Miniopterus sororculus
Miniopterus fuliginosus
Miniopterus griveaudi
Miniopterus petersoni
Miniopterus shortridgei
Miniopterus medius
Miniopterus magnater
Miniopterus inflatus
Miniopterus tristis
Ailurops ursinus
Strigocuscus celebensis
Strigocuscus pelengensis
Phalanger rothschildi
Phalanger matanim
Phalanger lullulae
Phalanger intercastellanus
Phalanger mimicus
Phalanger ornatus
Wyulda squamicaudata
Phalanger carmelitae
Phalanger vestitus
Phalanger alexandrae
