Eligmodontia typus
Oryzomys couesi
Cryptotis squamipes
Cryptotis montivaga
Cryptotis thomasi
Cryptotis meridensis
Cryptotis medellinia
Cryptotis merriami
Cryptotis mayensis
Cryptotis goldmani
Cryptotis obscura
Cryptotis magna
Cryptotis goodwini
Cryptotis mexicana
Cryptotis gracilis
Cryptotis equatoris
Cryptotis endersi
Cryptotis nelsoni
Cryptotis mera
Cryptotis phillipsii
Cryptotis nigrescens
Cryptotis hondurensis
Cryptotis peregrina
Cryptotis peruviensis
Cryptotis brachyonyx
Cryptotis tropicalis
Cryptotis tamensis
Cryptotis alticola
Cryptotis colombiana
Cryptotis orophila
Cryptotis griseoventris
Sorex raddei
Sorex pacificus
Sorex isodon
Sorex roboratus
Sorex alaskanus
Sorex mirabilis
Sorex bendirii
Sorex volnuchini
Blarina carolinensis
Suncus ater
Suncus hosei
Suncus montanus
Suncus zeylanicus
Microtus daghestanicus
Microtus subterraneus
Microtus majori
Microtus savii
Microtus brachycercus
Microtus gerbei
Microtus duodecimcostatus
Microtus thomasi
Microtus multiplex
Microtus bavaricus
Microtus liechtensteini
Microtus middendorffii
Microtus mongolicus
Microtus lusitanicus
Microtus montebelli
Microtus canicaudus
Microtus mexicanus
Microtus levis
Microtus oaxacensis
Microtus maximowiczii
Microtus transcaspicus
Microtus chrotorrhinus
Microtus evoronensis
Microtus hyperboreus
Microtus irani
Microtus mujanensis
Microtus nasarovi
Microtus felteni
Microtus anatolicus
Microtus dogramacii
Microtus qazvinensis
Microtus quasiater
Microtus tatricus
Microtus miurus
Microtus guatemalensis
Microtus umbrosus
Microtus montanus
Microtus longicaudus
Microtus ilaeus
Microtus schelkovnikovi
Microtus clarkei
Microtus paradoxus
Microtus schidlovskii
Microtus kikuchii
Microtus gregalis
Microtus socialis
Microtus sachalinensis
Microtus limnophilus
Microtus townsendii
Microtus cabrerae
Microtus breweri
Microtus californicus
Microtus fortis
Microtus abbreviatus
Microtus richardsoni
Microtus xanthognathus
Paracrocidura graueri
Diplomesodon pulchellum
Myosorex schalleri
Myosorex tenuis
Myosorex kihaulei
Myosorex zinki
Myosorex varius
Megasorex gigas
Paracrocidura schoutedeni
Myosorex cafer
Blarinella quadraticauda
Myosorex longicaudatus
Sylvisorex morio
Blarinella wardi
Soriculus nigrescens
Myosorex rumpii
Myosorex blarina
Anourosorex schmidi
Sylvisorex ollula
Ruwenzorisorex suncoides
Chodsigoa smithii
Sylvisorex lunaris
Anourosorex squamipes
Anourosorex assamensis
Surdisorex norae
Chimarrogale styani
Chimarrogale sumatrana
Chimarrogale phaeura
Chimarrogale himalayica
Feroculus feroculus
Chimarrogale platycephalus
Nectogale elegans
Chimarrogale hantu
Scutisorex somereni
Baiomys musculus
Congosorex polli
Congosorex verheyeni
Congosorex phillipsorum
Crocidura levicula
Crocidura lusitania
Crocidura planiceps
Crocidura bottegi
Crocidura obscurior
Crocidura douceti
Crocidura shantungensis
Crocidura yankariensis
Crocidura attila
Crocidura aleksandrisi
Crocidura ludia
Crocidura horsfieldii
Crocidura whitakeri
Crocidura fuscomurina
Crocidura dolichura
Crocidura maquassiensis
Crocidura elgonius
Crocidura nanilla
Crocidura pasha
Crocidura watasei
Crocidura crenata
Crocidura tarfayensis
Crocidura lea
Crocidura monticola
Crocidura gracilipes
Crocidura zarudnyi
Crocidura sicula
Crocidura religiosa
Crocidura jacksoni
Crocidura silacea
Crocidura denti
Crocidura allex
Crocidura nana
Crocidura canariensis
Crocidura maxi
Crocidura zimmermanni
Crocidura crossei
Crocidura lanosa
Crocidura ansellorum
Crocidura baileyi
Crocidura congobelgica
Crocidura glassi
Crocidura latona
Crocidura lucina
Crocidura manengubae
Crocidura phaeura
Crocidura stenocephala
Crocidura thalia
Crocidura thomensis
Crocidura beccarii
Crocidura hispida
Crocidura palawanensis
Crocidura bottegoides
Crocidura caliginea
Crocidura greenwoodi
Crocidura harenna
Crocidura macmillani
Crocidura picea
Crocidura serezkyensis
Crocidura arabica
Crocidura pachyura
Crocidura cinderella
Crocidura macarthuri
Crocidura muricauda
Crocidura parvipes
Crocidura smithii
Crocidura tarella
Crocidura voi
Crocidura trichura
Crocidura vorax
Crocidura baluensis
Crocidura indochinensis
Crocidura paradoxura
Crocidura cyanea
Crocidura jouvenetae
Sorex hoyi
Sorex minutissimus
Sorex nanus
Sorex arizonae
Sorex preblei
Sorex hosonoi
Sorex longirostris
Sorex haydeni
Sorex ugyunak
Sorex tenellus
Sorex milleri
Sorex gracillimus
Sorex saussurei
Sorex dispar
Sorex lyelli
Sorex trowbridgii
Sorex merriami
Sorex shinto
Sorex jacksoni
Sorex caecutiens
Sorex granarius
Sorex monticolus
Sorex neomexicanus
Sorex oreopolus
Sorex sclateri
Sorex stizodon
Sorex emarginatus
Sorex ventralis
Sorex maritimensis
Sorex cansulus
Sorex cylindricauda
Sorex kozlovi
Sorex leucogaster
Sorex sinalis
Sorex pribilofensis
Sorex bedfordiae
Sorex camtschatica
Sorex planiceps
Sorex portenkoi
Sorex thibetanus
Sorex rohweri
Sorex arunchi
Sorex ixtlanensis
Sorex yukonicus
Sorex mediopua
Sorex orizabae
Sorex veraecrucis
Sorex antinorii
Sorex veraepacis
Sorex excelsus
Sorex tundrensis
Sorex asper
Sorex alpinus
Sorex daphaenodon
Sorex buchariensis
Sorex satunini
Sorex samniticus
Sorex sonomae
Sorex bairdi
Sorex macrodon
Sylvisorex vulcanorum
Sylvisorex johnstoni
Sylvisorex granti
Sylvisorex howelli
Notiosorex crawfordi
Notiosorex cockrumi
Notiosorex villai
Sylvisorex konganensis
Notiosorex evotis
Chodsigoa salenskii
Sylvisorex camerunensis
Episoriculus caudatus
Episoriculus fumidus
Chodsigoa parca
Blarinella griselda
Myosorex eisentrauti
Myosorex okuensis
Myosorex sclateri
Paracrocidura maxima
Solisorex pearsoni
Sylvisorex isabellae
Chodsigoa hypsibia
Chodsigoa lamula
Episoriculus macrurus
Anourosorex yamashinai
Sylvisorex oriundus
Sylvisorex pluvialis
Surdisorex polulus
Myosorex babaulti
Myosorex geata
Episoriculus leucops
Chodsigoa caovansunga
Chodsigoa parva
Chodsigoa sodalis
Crocidura fulvastra
Crocidura buettikoferi
Crocidura arispa
Crocidura miya
Crocidura dsinezumi
Crocidura foetida
Crocidura hildegardeae
Crocidura mariquensis
Crocidura beatus
Crocidura grayi
Crocidura roosevelti
Crocidura desperata
Crocidura negrina
Crocidura xantippe
Crocidura somalica
Crocidura nigrofusca
Crocidura polia
Crocidura selina
Crocidura armenica
Crocidura floweri
Crocidura grandis
Crocidura mindorus
Crocidura pergrisea
Crocidura susiana
Crocidura tenuis
Crocidura erica
Crocidura fischeri
Crocidura macowi
Crocidura pitmani
Crocidura gmelini
Crocidura pullata
Crocidura zaphiri
Crocidura hilliana
Crocidura wuchihensis
Crocidura caspica
Crocidura vosmaeri
Crocidura hikmiya
Crocidura virgata
Crocidura katinka
Crocidura musseri
Crocidura ramona
Crocidura hutanis
Crocidura rapax
Crocidura dhofarensis
Crocidura usambarae
Crocidura fuliginosa
Crocidura tansaniana
Crocidura malayana
Crocidura orientalis
Crocidura brunnea
Crocidura negligens
Crocidura lepidura
Crocidura jenkinsi
Crocidura nigripes
Crocidura grassei
Crocidura telfordi
Crocidura kivuana
Crocidura eisentrauti
Crocidura luna
Crocidura maurisca
Crocidura rhoditis
Crocidura attenuata
Crocidura orii
Crocidura raineyi
Crocidura fumosa
Crocidura zimmeri
Crocidura montis
Crocidura turba
Crocidura tanakae
Crocidura lasiura
Crocidura nimbae
Crocidura hirta
Crocidura monax
Crocidura ultima
Crocidura niobe
Crocidura batesi
Crocidura viaria
Crocidura poensis
Crocidura theresae
Crocidura elongata
Crocidura littoralis
Crocidura longipes
Crocidura nigricans
Crocidura lamottei
Crocidura andamanensis
Crocidura foxi
Crocidura grandiceps
Crocidura nigeriae
Crocidura wimmeri
Crocidura mutesae
Crocidura nicobarica
Crocidura flavescens
Crocidura olivieri
Crocidura sibirica
Crocidura goliath
Myodes californicus
Myodes rutilus
Myodes centralis
Myodes rufocanus
Myodes regulus
Myodes shanseius
Myodes andersoni
Myodes rex
Mus orangiae
Mus indutus
Mus baoulei
Mus setzeri
Mus musculoides
Mus haussa
Mus bufo
Mus terricolor
Dicrostonyx nunatakensis
Dicrostonyx nelsoni
Dicrostonyx richardsoni
Dicrostonyx hudsonius
Dicrostonyx vinogradovi
Dicrostonyx unalascensis
Thallomys nigricauda
Thallomys loringi
Thallomys shortridgei
Neomys teres
Saccostomus mearnsi
Ningaui yvonneae
Ningaui timealeyi
Chiropodomys calamianensis
Chiropodomys major
Chiropodomys muroides
Chiropodomys pusillus
Chiropodomys karlkoopmani
Hylaeamys perenensis
Hylaeamys laticeps
Hylaeamys oniscus
Hylaeamys tatei
Hylaeamys acritus
Hylaeamys yunganus
Lemniscomys barbarus
Lemniscomys macculus
Lemniscomys zebra
Lemniscomys linulus
Lemniscomys bellieri
Lemniscomys hoogstraali
Lemniscomys roseveari
Lemniscomys mittendorfi
Lemniscomys rosalia
Lemniscomys griselda
Galea monasteriensis
Galea flavidens
Rattus niobe
Rattus pococki
Rattus arrogans
Rattus exulans
Rattus hainaldi
Rattus mollicomulus
Rattus satarae
Rattus richardsoni
Rattus vandeuseni
Rattus omichlodes
Rattus osgoodi
Rattus verecundus
Rattus nitidus
Rattus losea
Rattus baluensis
Rattus tiomanicus
Rattus ranjiniae
Rattus burrus
Rattus simalurensis
Rattus elaphinus
Rattus novaeguineae
Rattus montanus
Rattus pyctoris
Rattus andamanensis
Rattus tanezumi
Rattus colletti
Rattus hoffmanni
Rattus morotaiensis
Rattus steini
Rattus giluwensis
Rattus tawitawiensis
Rattus adustus
Rattus bontanus
Rattus enganus
Rattus koopmani
Rattus korinchi
Rattus mindorensis
Rattus pelurus
Rattus timorensis
Rattus arfakienis
Rattus blangorum
Rattus salocco
Rattus sordidus
Rattus hoogerwerfi
Rattus argentiventer
Rattus tunneyi
Rattus praetor
Rattus annandalei
Rattus leucopus
Rattus marmosurus
Rattus villosissimus
Rattus lugens
Rattus mordax
Rattus everetti
Rattus xanthurus
Rattus feliceus
Rattus stoicus
Rattus jobiensis
Rattus palmarum
Sminthopsis youngsoni
Sminthopsis dolichura
Sminthopsis hirtipes
Sminthopsis archeri
Sminthopsis griseoventer
Sminthopsis longicaudata
Sminthopsis gilberti
Sminthopsis fuliginosus
Sminthopsis bindi
Sminthopsis aitkeni
Sminthopsis butleri
Sminthopsis granulipes
Sminthopsis psammophila
Sminthopsis douglasi
Psammomys vexillaris
Didelphis pernigra
Didelphis imperfecta
Didelphis aurita
Apodemus uralensis
Apodemus witherbyi
Apodemus rusiges
Apodemus draco
Apodemus semotus
Apodemus ponticus
Apodemus alpicola
Apodemus peninsulae
Apodemus chevrieri
Apodemus latronum
Apodemus gurkha
Apodemus speciosus
Apodemus mystacinus
Apodemus hyrcanicus
Apodemus pallipes
Apodemus epimelas
Grammomys minnae
Grammomys macmillani
Grammomys ibeanus
Grammomys cometes
Grammomys aridulus
Grammomys buntingi
Grammomys caniceps
Grammomys kuru
Grammomys dryas
Grammomys gigas
Marmosa lepida
Marmosa tyleriana
Marmosa murina
Marmosa xerophila
Marmosa andersoni
Marmosa mexicana
Marmosa rubra
Marmosa quichua
Scotinomys teguina
Salinomys delicatus
Akodon bogotensis
Microryzomys altissimus
Microryzomys minutus
Calomys tener
Calomys laucha
Scotinomys xerampelinus
Neacomys guianae
Paralomys gerbillus
Neacomys pictus
Neacomys paracou
Neacomys minutus
Neacomys musseri
Neacomys dubosti
Neacomys tenuipes
Chilomys instans
Neacomys spinosus
Akodon aliquantulus
Eothenomys melanogaster
Thaptomys nigrita
Calomys sorellus
Phyllotis amicus
Calomys musculinus
Oligoryzomys nigripes
Calomys lepidus
Akodon lutescens
Rhagomys longilingua
Rhagomys rufescens
Synaptomys borealis
Notiomys edwardsii
Oligoryzomys flavescens
Eothenomys olitor
Cricetulus longicaudatus
